"","also","back","can","find","guitar","littl","look","make","model","neck","one","play","rang","realli","sound","tone","top","use","will","feel","get","like"
"martin-000-28-modern",1,2,2,3,7,2,5,1,6,1,3,2,3,1,2,2,2,6,1,0,0,0
"taylor-514ce-urban-i",1,2,4,3,4,1,1,3,5,4,1,1,0,0,4,3,3,1,3,1,3,2
"fender-acoustasonic-",1,1,2,3,6,2,0,4,3,2,5,2,0,1,5,3,2,4,2,2,0,5
"fender-player-strato",0,1,3,2,0,3,2,1,2,3,1,1,2,1,0,7,3,3,2,1,1,2
"roland-fp-10-digital",2,3,1,0,1,2,2,1,6,4,3,2,2,1,0,1,3,1,3,3,1,3
"gibson-les-paul-clas",3,1,6,1,1,1,0,1,4,0,6,3,2,0,11,2,3,6,0,2,2,2
"yamaha-b1-acoustic-p",2,1,0,3,0,0,0,0,1,0,4,6,2,1,6,2,1,0,0,2,2,2
"yamaha-arius-ydp-s55",1,3,3,0,0,0,2,4,6,0,1,4,4,3,6,5,0,7,0,0,3,3
"cort-gold-oc6",0,1,0,1,3,1,2,0,0,2,0,0,0,1,0,6,2,1,4,0,0,3
"taylor-academy-12e-n",1,2,1,1,3,1,1,2,0,3,0,2,1,1,0,0,0,0,2,0,2,2
"fender-player-plus-j",0,0,2,1,1,1,2,2,6,4,6,0,2,1,3,1,1,0,0,4,1,1
"gibson-les-paul-juni",2,1,0,1,2,4,2,1,1,6,2,4,1,2,1,10,0,0,3,2,0,0
"vox-ac30s1-combo",0,1,0,1,6,4,5,2,0,1,2,0,2,0,4,6,4,2,1,1,2,1
"fender-tone-master-p",4,0,0,0,0,0,0,1,2,0,0,0,0,1,0,5,0,3,1,0,1,1
"casio-casiotone-lk-s",1,3,8,1,0,0,2,4,2,1,0,9,1,0,3,2,1,4,0,2,3,1
"breedlove-eco-pursui",1,2,1,2,5,2,3,5,0,2,0,2,0,1,1,0,2,5,1,2,1,0
"sheeran-by-lowden-eq",0,2,0,0,7,1,0,3,3,1,3,0,5,0,4,0,1,4,1,3,2,3
"roland-rd-64-digital",1,0,1,0,0,0,2,0,0,0,4,5,1,2,10,3,2,1,1,2,1,2
"manson-john-paul-jon",0,0,2,1,1,4,0,1,4,5,1,0,1,1,1,5,2,1,1,2,2,1
"black-knight-cl22m-e",3,1,4,0,9,1,1,1,1,5,0,2,0,0,1,3,0,0,1,2,0,1
